voter,question,option
1,1,In-person workshops
2,1,Online tutorials (e.g. YouTube walk-thrus)
3,1,Self-guided tutorials (written)
4,1,Online workshops
5,1,Discussion boards
6,1,Self-guided tutorials (written)
7,1,Wikis and docs (e.g. Jupyter Notebooks)
8,1,Lesson plans
9,1,Wikis and docs (e.g. Jupyter Notebooks)
10,1,Online tutorials (e.g. YouTube walk-thrus)
1,2,Wikis and docs (e.g. Jupyter Notebooks)
2,2,Self-guided tutorials (written)
3,2,In-person workshops
4,2,Wikis and docs (e.g. Jupyter Notebooks)
5,2,Wikis and docs (e.g. Jupyter Notebooks)
6,2,In-person workshops
7,2,Online workshops
8,2,In-person workshops
9,2,Self-guided tutorials (written)
10,2,Online tutorials (e.g. YouTube walk-thrus)
1,3,Wikis and docs (e.g. Jupyter Notebooks)
2,3,Online workshops
3,3,Self-guided tutorials (written)
4,3,Self-guided tutorials (written)
5,3,Online workshops
6,3,In-person workshops
7,3,Online workshops
8,3,Online tutorials (e.g. YouTube walk-thrus)
9,3,
10,3,
1,4,Online workshops
2,4,
3,4,Wikis and docs (e.g. Jupyter Notebooks)
4,4,Online tutorials (e.g. YouTube walk-thrus)
5,4,Online tutorials (e.g. YouTube walk-thrus)
6,4,Wikis and docs (e.g. Jupyter Notebooks)
7,4,Online tutorials (e.g. YouTube walk-thrus)
8,4,Wikis and docs (e.g. Jupyter Notebooks)
9,4,
10,4,
1,5,Other
2,5,
3,5,
4,5,In-person workshops
5,5,In-person workshops
6,5,
7,5,Self-guided tutorials (written)
8,5,Self-guided tutorials (written)
9,5,
10,5,
1,6,
2,6,
3,6,
4,6,
5,6,Online workshops
6,6,
7,6,
8,6,
9,6,
10,6,
